Sex/Gender,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female
Diet,Vegitarian,Vegitarian,Vegan,Meat-Eater,Meat-Eater,Vegitarian,Vegitarian,Vegan,Vegan,Meat-Eater,Meat-Eater
Age,<65 Years,>65 Years,<65 Years,<65 Years,>65 Years,<55 Years,>55 Years,<55 Years,>55 Years,<55 Years,>55 Years
Sample Size,298,57,194,14230,5853,1559,456,456,100,47442,23129
Total vitamin A,10.1,9.3,18.4,12.4,6.6,6,1.2,10.4,6.5,5.8,1.2
Thiamin,26.1,22.1,11.1,21,24,32.1,26.9,16.1,18.1,21.6,21.6
Riboflavin,13.1,11.6,23.8,6.7,5.8,24.7,12.5,35.4,21.9,13.2,8.4
Niacin,11.5,7,5.8,1,1,12,6.5,9.1,3.9,26.1,0.5
Pantothenic acid,10.8,5.8,12.5,5,3.4,34.5,19.3,36.6,22.5,19.8,12.3
Vitamin B6,23.2,15.7,11.7,18.9,16.1,37,23.3,19.8,19.3,27.2,18.4
Folate,3.8,2.9,1.5,13.1,7.9,9.8,3,4.6,9.7,17.7,6.8
Vitamin B12,32.8,16.8,69.9,0.8,0.6,45.3,30.9,83.4,49.8,3.7,1.4
Vitamin C,26.9,34,18.3,38.8,32.9,41,29.4,26.5,24.1,45.7,36.7
Vitamin E,10.2,11.5,1.8,24,27.9,28.9,23,8.9,26.1,41.6,38.2
Calcium,13,43.3,38.2,13,49,28.1,56.7,60.8,73.9,66.4,64.1
Iron,0.6,0.7,0,0.6,0.5,45.2,33.8,24.9,35.3,56.6,46.1
Zinc,9.2,3.1,6.4,1.1,0.3,9,10.7,10.7,10.9,0.7,1.4
Magnesium,45.8,49.1,21.9,71.5,69.8,59.7,43.4,36.8,45.3,79.2,68.1
Phosphorus,0.4,0,0.5,0,0,1.4,0.5,5.1,0.6,0,0
Potassium,12.4,10.8,8.4,10.6,6,36.5,17,24.1,17.3,32.7,17.7
Source:,10.3390/nu9091023,,,,,,,,,,
